,CATEGORIA,CODIGO,TEXTO
129,eventos meteorológicos,tormenta,"La Dir ección Nacional de Bomber os debió intervenir en 188 oportunidades en Monte video, San José y Canelones como consecuencia del tempor al que afectó al sur del país en las últimas hor as. Según informó el Sistema Nacional de  Emer gencias (SINAE), todavía quedan 2000 hogar es sin electricidad."
130,eventos meteorológicos,tormenta,"Hay 12 e vacuados por intensas tormentas: siete en T r einta y T r es y cinco en Colonia. Además, el Sinae informó sobr e rutas cortadas y daños en la r ed eléctrica de distribución de todo el país. UTE lle va r egistr ados un total de 8.500 r eclamos."
131,eventos meteorológicos,tormenta,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm)."
132,eventos meteorológicos,tormenta,Alerta naranja por lluvias y tormentas en el norte; hay 33 desplazados -...
133,eventos meteorológicos,tormenta,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.)"
134,eventos meteorológicos,tormenta,"Al final habrá o no tormentas y viento,no entiendo si el informe es viejo o no.aclaren bien porque da a confusión.gracias"
135,eventos meteorológicos,tormenta,"Según explicó el Instituto Uruguayo de Meteorología (Inumet), ""los departamentos comprendidos en la franja costera del país se encuentran afectados por una masa de aire cálida, húmeda e inestable que generarán tormentas puntualmente intensas con actividad eléctrica, ocasionales granizadas, rachas de viento entre 60 - 75 km/h, y precipitaciones abundantes (20 - 50 mm)."
136,eventos meteorológicos,tormenta,"""Una masa de aire cálido e inestable en interacción con un frente frío que se aproxima por el suroeste, genera el desarrollo de tormentas, con ocasional precipitación de granizo, intensa actividad eléctrica, probables rachas de viento entre 60-75 km/h, y precipitaciones entre 20-40 mm en seis horas"", se advierte."
137,eventos meteorológicos,tormenta,"En Artigas, Salto, Rivera, Tacuarembó y Cerro Largo, se señala que una ""masa aire cálida, húmeda e inestable continúa interaccionando con frente frío que se desplaza lentamente del Suroeste al Norte"" lo que favorece que continúen desarrollándose tormentas, acompañadas de ""precipitaciones copiosas (50 - 80 mm en 6 hs.), intensa actividad eléctrica, caída de granizo y rachas de viento muy fuerte entre 75 - 100 km/h""."
138,eventos meteorológicos,tormenta,"Por lo tanto para esta parte del país se esperan precipitaciones abundantes, rachas de viento de entre 75 y 120 kilómetros por hora, intensa actividad eléctrica y ocasional caída de granizo."
139,eventos meteorológicos,tormenta,"-100 mm), ocasionales granizadas, rachas de viento del SW entre 75 - 120 km/h, e intensa actividad eléctrica."
140,eventos meteorológicos,tormenta,"El organismo informó este mediodía que en esta zona hay tormentas fuertes que pueden llegar incluir rachas de viento superiores a 120 kilómetros por hora, granizo, intensa actividad eléctrica y lluvia intensa. El pronóstico rige hasta las 18:00 horas de este martes."
141,eventos meteorológicos,tormenta,"Montevideo y la zona metropolitana se espera cielo cubierto, precipitaciones y probables tormentas aisladas. Habrá rachas de viento y temperaturas entre los 18 de mínima y 23 de máxima."
142,eventos meteorológicos,tormenta,"Según informó el coordinador del Comité, Jorge Cuello, hasta el momento no hay lesionados ni evacuados, y las denuncias principalmente fueron por árboles, cartelería o tendido eléctrico caído o voladura de chapas. Ahora UTE, Bomberos y la Intendencia trabajan para reparar cuanto antes las zonas afectadas"
143,eventos meteorológicos,tormenta,"Según informó la Intendencia de Maldonado, 15 camiones trabajan en la zona apoyados por cuatro máquinas. Mientras, técnicos de las direcciones municipales de Obras, Higiene y Vivienda trabajan en la zona para asistir a los afectados."
144,eventos meteorológicos,tormenta,"Son 33 las personas desplazadas de sus hogares debido a las lluvias y fuertes tormentas de este sábado, así como hay seis carreteras cortadas tras la crecida de ríos y arroyos, según informó el Sistema Nacional de Emergencias del país (Sinae"
145,eventos meteorológicos,tormenta,"Se prevé actividad eléctrica, ocasionales granizadas, rachas de viento fuerte entre 60 - 75 km/h y precipitaciones puntualmente abundantes (entre 20-50 mm en 6 hs.)."
146,eventos meteorológicos,tormenta,"De acuerdo a las últimas comunicaciones del Sistema Nacional de Emergencias y Bomberos, habría un muerto a causa del temporal, 8 evacuados de Canelones y 1 ruta cortada. En la noche, Bomberos recibió 400 llamado"
147,eventos meteorológicos,tormenta,"Entre los fenómenos meteorológicos previstos se presentarán ""precipitaciones puntualmente abundantes (20-50 en 6 hs), rachas de viento del SW (60-75 km/h), intensa actividad eléctrica, ocasional caída de granizo"
148,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/1 12-evacuados-y-danos-en-viviendas-es-el-saldo-de-las-tormentas-de-las-ultimas-horas-uc704881 1 / 12
149,eventos meteorológicos,tormenta,"Allí, se esper an lluvias, algunas intensas y formación de tormentas aisladas, con ocasional caída de gr anizo, intensa actividad eléctrica y r achas de viento fuertes."
150,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Advertencia-amarilla-por-tormentas-fuertes-para-el-suroeste-del-pais-uc702592 1 / 1 1
151,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Advertencia-Amarilla-por-tormentas-fuertes-para-Montevideo-y-parte-de-Florida-Lavalleja-Maldonado-y … 1 / 1 1
152,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Advertencia-amarilla-por-tormentas-para-Montevideo-Canelones-y-parte-de-Maldonado-uc705996 1 / 12
153,eventos meteorológicos,tormenta,"Amarillo por persistencia de tormentas y lluvias, que estar á vigente hasta las 23:15 del jue ves."
154,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Advertencia-meteorologica-de-distintos-niveles-para-buena-parte-del-pais-por-tormentas-fuertes-uc693 … 1 / 12
155,eventos meteorológicos,tormenta,"La situación se debe a que una perturbación atmosférica asociada a masa de air e húmeda e inestable, gener ando pr ecipitaciones y tormentas fuertes algunas puntualmente se ver as."
156,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Advertencia-naranja-para-el-suroeste-por-tormentas-y-amarilla-para-varios-departamentos-uc696124 1 / 1 1
157,eventos meteorológicos,tormenta,"El Instituto Nacional de Meteor ología r edujo la advertencia nar anja a tr es departamentos del norte, por tormentas y vientos fuertes."
158,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Advertencia-por-tormentas-fuertes-y-precipitaciones-intensas-para-el-fin-de-semana-uc696008 1 / 12
159,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Advierten-sobre-tormentas-fuertes-y-vientos-con-caracteristicas-de-temporal-para-este-fin-de-semana- … 1 / 12
160,eventos meteorológicos,tormenta,El Inumet advirtió que en algunas zonas de tormentas se puede r egistr ar caída de gr anizo e intensa actividad eléctrica.
161,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Alerta-amarilla-para-el-suroeste-del-pais-por-lluvias-y-tormentas-uc701265 1 / 1 1 S E   PO N E   N E G R O   C O M O   L A   N O C H E
162,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Alerta-amarilla-por-tormentas-y-lluvias-intensas-al-noroeste-uc702041 1 / 1 1
163,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Alerta-naranja-por-tormentas-y-lluvias-en-el-suroeste-del-pais-uc704705 1 / 12
164,eventos meteorológicos,tormenta,Meteor ología r edujo la advertencia nar anja por lluvias y tormentas fuertes a once departamentos del norte y el este del país.
165,eventos meteorológicos,tormenta,? https://www .montevideo.com.uy/Noticias/Alerta-naranja-Inumet-advierte-por-lluvias-y-tormentas-en-nueve-departamentos-uc696946 1 / 1 1
