,Category,Code,Case,Text,Coder,Date,Words,% Words,Comment,Variable
47,eventos meteorológicos,tormenta, PERSISTEN LAS ADVERTENCIAS METEOROLÓGICAS EN EL PAÍS,"En las ú l t i m a s  h o r a s  e l  c l i m a  s e  p r e s e n t ó fresco con cielo cubierto. Las precipitaciones fueron abundantes y persisten las tormentas. Las temperaturas fueron desde los 13º  a  l o s  1 7 º. La situació n  s i n óptica, presenta una fuerte depresió n  a t m o s f érica que continú a  a f e c tando al paí s .  P a r a  l a s  p r óximas horas se prevé  u n  d e s c e n s o  d e  t e m p e r a t u r a .",Admin,6/9/2020,122,"17,90%",,DOCUMENT
48,eventos meteorológicos,ola de frío, SE REGISTRAN LAS HELADAS MÁS AGUDAS DE ESTE INVIERNO,Persistirá n  vientos del Oeste al Sudoeste arrachados entr e  5 0  y  7 0  k m / h .  e n  z o n a s,Admin,7/9/2020,25,"2,00%",,DOCUMENT
49,eventos meteorológicos,viento, SE REGISTRAN LAS HELADAS MÁS AGUDAS DE ESTE INVIERNO,Persistirá n  vientos del Oeste al Sudoeste arrachados entr e  5 0  y  7 0  k m / h .  e n  z o n a s,Admin,6/9/2020,25,"2,00%",,DOCUMENT
50,Actores,Intendencia, SE REGISTRAN LAS HELADAS MÁS AGUDAS DE ESTE INVIERNO,"Intendencia Mu n i c i p a l  d e  Montevi d e o  ( I MM) .  "" L a s  b a j a s  s e n s a c i o n e s  t érmicas representan un riesgo sanitario para quienes viven en la calle"", dijo la fuente quien aseguró  q u e  s e  b u s c a  d a r  "" u n a  r e s p u e s t a  d e  e m e r g e n c i a ""  a  l a  s i t u a c i ón social.",Admin,7/9/2020,102,"8,20%",,DOCUMENT
51,eventos meteorológicos,lluvia, 12 al 18 de enero de 2004,Esta semana el tiempo se pr esentar á cálido con temper atur as máximas que super ar án los 25ºC per o que no alcanzar án los 30ºC. El cielo se pr esentar á soleado y par cialmente nublado. No se r egistr ar án lluvias dur ante la semana.,Admin,26/6/2020,50,"8,60%",,DOCUMENT
52,eventos meteorológicos,tormenta, 12 al 18 de enero de 2004,Inumet advierte por ingr eso de fr ente frío y tormentas entr e miér coles y jue ves 3,Admin,26/6/2020,19,"3,30%",,DOCUMENT
53,eventos meteorológicos,lluvia, 5 al 12 de enero de 2004,"El tiempo esta semana se pr esentar a cálido con temper atur as máximas con r ondar án los 30ºC par a sur y norte del país. Las mínimas super ar án los 17ºC. La nubosidad ser á variable, al igual que el r égimen de pr ecipitaciones esper ado par a el país. En el norte, las lluvias comenzar án el día miér coles y continuar án hasta el viernes, mientr as que en el sur las lluvias llegar án el día jue ves. El sábado mejor ar á par cialmente. El total de pr ecipitaciones par a esta semana oscilar á entr e 20 mm y 35 mm en el sur y entr e",Admin,26/6/2020,116,"17,90%",,DOCUMENT
54,eventos meteorológicos,tormenta, 5 al 12 de enero de 2004,Inumet advierte por ingr eso de fr ente frío y tormentas entr e miér coles y jue ves 3,Admin,26/6/2020,19,"2,90%",,DOCUMENT
55,eventos meteorológicos,lluvia, del 10 al 16 de mayo de 2004,"T el: 4001684 - 4028056 / Monte video - Uruguay   Las temper atur as máximas pr omedio par a la semana ser án de 17,6 ºC, mientr as que las mínimas oscilar án en el eje de los 5,4 ºC, no descartándose la posibilidad de e ventuales heladas en algunas zonas del país. Las lluvias comenzar án el día miér coles en el sur del país per o ser án de escasa magnitud. Las mismas arribar án el días jue ves al centr o del territorio y el viernes cubrir án el norte. Se esper an r egistr os importantes del or den de los 35 mm y de hasta 45 mm en algunas r egiones.",Admin,26/6/2020,115,"15,60%",,DOCUMENT
56,eventos meteorológicos,lluvia, del 12 al 18 de abril de 2004,Se aguar dan lluvias de entidad par a el día sábado que super ar án en algunas zonas los 25 mm. Cubrir án todo el país y se esper a que los mayor es r egistr en se den nue vamente en el litor al oeste.,Admin,26/6/2020,46,"6,30%",,DOCUMENT
57,eventos meteorológicos,lluvia, del 15 al 21 de marzo de 2004,Negr o. Los cielos se pr esentar án soleados y par cialmente nublados. No se pr onostican lluvias en todo el territorio nacional par a esta semana ni tampoco hasta mediados de la sigueinte.,Admin,26/6/2020,34,"5,50%",,DOCUMENT
