,CATEGORIA,TEXTO
73,lluvia,"T el: 4001684 - 4028056 / Monte video - Uruguay   Sin embar go, las lluvias volver án a todo el territorio la semana entr ante con r egistr os más importante; los datos pr eliminar es pr o yectan pr ecipitaciones de entr e 35 mm y 45mm."
74,ola de frío,"Las temper atur as ser án mayor es a las e xperimentadas a fines de la semana anterior, aunque no se descartan una nue va ola de frío a partir del jue ves."
75,lluvia,"El tiempo esta semana no pr esentar á r egistr os de lluvias en todo el país, al menos hasta el día domingo, aunque se estarían pr onosticando lluvias del or den de los 25 mm a partir del pr ó ximo lunes."
76,tormenta,"""Granizado  a s o c i a do a tormentas ""es el pronó s t i c o  d e l  t i e m p o  p a r a  h o y  y m a ñ a n a   s e g ú n   i n di c a   l a   D i r e c c i ó n   N a c i o n a l   d e   M e t e o r o l o g í a .   H a c i a   e l   ? n   d e semana baja la temperatura y siguen los ""eventuales chaparrones""."
77,viento,Ese fuerte viento
78,lluvia,"En Paysandú ,  l o s  vientos pasaron los 100 kiló m e tros por hora con lluvias que llegaron a los 39 mm lo que provocó  q u e  v a r i a s  l o c a l i d a d e s  s e  q u e d a r a n  s i n  l u z  y t e l é f o n o ."
79,lluvia,"El resto de  l a  s e m a n a  s e r á con viento, lluvias y bajas temperaturas. Para m a ñ a n a   h a y   a dv e r t e n c i a   m e t e o r o l ó g i c a ."
80,viento,"El resto de  l a  s e m a n a  s e r á con viento, lluvias y bajas temperaturas. Para m a ñ a n a   h a y   a dv e r t e n c i a   m e t e o r o l ó g i c a ."
81,lluvia,"Despué s  de un par de  dí a s  v e r a n i e g o s ,  e l  c i e l o  p r o m e t e  c a e r  s o b r e  n u e s t r a s cabezas. Granizo, lluvias, vientos fuertes combinan un temporal que se q u e da r á   a l   m e n o s   u n   p a r   de   dí a s   e n   n u e s t r o   t e r r i t o r i o ."
82,tormenta,"El temporal llegará  a  n u e s t r o  p a ís por el noreste y recorrerá  e l  t e r r i t o r i o  n a c i o n a l hasta afectar la capital. Segú n  d i j o  l a  p r e d i c t o r a  E l s a  Macaross al Portal, esto es tan só l o  u n a  t ípica tormenta de primavera, aunque se augura que desde las 21 hs."
83,lluvia,DESPUÉS DE LAS LLUVIAS DEL DOMINGO
84,lluvia,DOS CASOS FATALES POR LLUVIAS
85,tormenta,FUERTES TORMENTAS AZOTARÁN AL PAÍS
86,lluvia,INUNDACIONES Y EVACUADOS
87,lluvia,LLUVIAS HASTA EL VIERNES
88,lluvia,LLUVIAS HASTA EL VIERNES
89,lluvia,"MÁS DE 600 EVACUADOS, PODRÍA HABER MÁS"
90,lluvia,YA SON MÁS DE 1100 EVACUADOS EN TODO EL PAIS
91,lluvia,Recibilas diariamente en tu email 70 EVACUADOS EN MONTEVIDEO Y CIUDAD DE LA COST
92,ola de frío,FRÍO Y VIENTO
93,viento,FRÍO Y VIENTO
94,lluvia,INUNDACIONES Y EVACUADO
95,tormenta,Inumet emitió alerta amarilla por tormentas fuertes en varias localidades 5
96,lluvia,LLUVIAS Y TORMENTAS PARA HOY
97,tormenta,LLUVIAS Y TORMENTAS PARA HOY
98,tormenta,METEOROLOGÍA ADVIERTE FUERTES TORMENTAS
99,tormenta,TORMENTA EN RÍO NEGRO SIN LESIONADOS
100,tormenta,FIN DE SEMANA CON TORMENTAS
101,lluvia,SIGUEN LAS LLUVIAS
102,viento,TORMENTA Y VIENTOS
103,tormenta,TORMENTA Y VIENTOS
104,tormenta,TORMENTAS PARA EL FIN DE SEMANA
105,tornado,TURBONADA EN CERRO LARGO
106,viento,TURBONADA EN CERRO LARGO
107,viento,TURBONADA EN CERRO LARGO
108,tornado,TURBONADA EN CERRO LARGO
109,lluvia,ALERTA DE LLUVIAS Y GRANIZO
110,ola de frío,FUERTES VIENTOS Y MUCHO FRÍO
111,viento,FUERTES VIENTOS Y MUCHO FRÍO
112,lluvia,LLUVIAS PARA LOS PRÓXIMOS DÍAS
113,tormenta,TORMENTAS EL FIN DE SEMANA
114,tormenta,?VUELVEN LAS TORMENTAS
115,lluvia,"Advertencia meteorológica: tormenta, lluvia y granizada - Noticias Urug..."
116,tormenta,"Advertencia meteorológica: tormenta, lluvia y granizada - Noticias Urug..."
117,lluvia,"?EVACUADOS, ADVERTENCIAS Y RUTAS CORTADAS"
118,lluvia,?INUNDACIONES: 12.000 EVACUADOS
119,lluvia,?INUNDACIONES: 12.000 EVACUADOS
120,lluvia,?MÁS EVACUADOS POR INUNDACIONES
121,lluvia,?MÁS EVACUADOS POR INUNDACIONES
122,tormenta,?SE VIENEN LAS TORMENTAS
123,tormenta,?SE VIENEN LAS TORMENTAS
124,tormenta,?TORMENTAS A PARTIR DE HOY
125,tormenta,?CONTINÚAN LAS TORMENTAS
126,lluvia,?FRÍO Y LLUVIAS
127,ola de frío,?FRÍO Y LLUVIAS
128,lluvia,?LLUVIAS PARA LOS PRÓXIMOS DÍAS
129,ola de calor,?LLUVIAS Y CALOR ESTA SEMAN
130,lluvia,?LLUVIAS Y CALOR ESTA SEMANA
131,lluvia,?LLUVIAS Y CALOR ESTA SEMANA
132,tormenta,?LLUVIAS Y TORMENTAS PARA HOY
133,lluvia,?LLUVIAS Y TORMENTAS PARA HOY
134,lluvia,"?LLUVIAS, TORMENTAS Y GRANIZADAS"
135,tormenta,"?LLUVIAS, TORMENTAS Y GRANIZADAS"
136,lluvia,?MÁS LLUVIAS PARA LOS PRÓXIMOS DÍAS
137,tormenta,?METEOROLOGÍA ANUNCIA TORMENTAS
138,ola de frío,?PRONÓSTICO CON LLUVIAS Y FRÍO
139,lluvia,?PRONÓSTICO CON LLUVIAS Y FRÍO
140,lluvia,?SE ANUNCIAN LLUVIAS PARA ESTA SEMANA
141,lluvia,?SE ANUNCIAN NUEVAS LLUVIAS
142,lluvia,?SEMANA DE LLUVIAS
143,lluvia,Solidario gesto de la ciudadanía con damnificados por las inundaciones ...
144,tormenta,?TORMENTA Y GRANIZO EN MONTEVIDEO
145,tormenta,?TORMENTAS PARA ESTA NOCHE
146,tormenta,?TORMENTAS PARA ESTE VIERNES
147,lluvia,?ADVERTENCIA POR LLUVIAS ABUNDANTES
148,tormenta,?ALERTA METEOROLÓGICA DE TORMENTAS
